INSERT,1001200,1768.72,1/25/2019
INSERT,1001201,-39.95,1/24/2019
INSERT,1001202,-1.9,1/24/2019
INSERT,1001202,-44.43,1/24/2019
DELETE,1001203,-3.97,1/24/2019
DELETE,1001204,-9.42,1/24/2019
DELETE,1001204,-2.45,1/24/2019
INSERT,1001205,-241.92,1/23/2019
INSERT,1001206,-6.87,1/23/2019
INSERT,1001207,-50.85,1/22/2019
INSERT,1001207,-600,1/22/2019
INSERT,1001208,-860,1/22/2019
INSERT,1001209,-158.99,1/22/2019
INSERT,1001210,-6.76,1/18/2019
INSERT,1001211,-2.37,1/18/2019
X,1001212,1768.72,1/18/2019
X,1001212,-107.55,1/17/2019
DELETE,1001213,-1.52,1/16/2019
X,1001214,-9.68,1/16/2019
X,1001215,-3.69,1/16/2019
DELETE,1001216,-289.19,1/15/2019
DELETE,1001217,-39.21,1/14/2019
DELETE,1001218,-130.75,1/14/2019
X,1001219,-50.32,1/14/2019
X,1001220,-399.95,1/14/2019
INSERT,1001221,-600,1/14/2019
INSERT,1001221,-860,1/14/2019
INSERT,1001222,-38.59,1/14/2019
INSERT,1001223,-8.25,1/14/2019
INSERT,1001224,-6.44,1/14/2019
DELETE,1001225,-2.59,1/11/2019
DELETE,1001226,-9,1/11/2019
X,1001227,-2.11,1/11/2019
DELETE,1001228,1109.6,1/11/2019
DELETE,1001229,-6.44,1/10/2019
INSERT,1001230,-32.11,1/10/2019
INSERT,1001231,-6.99,1/10/2019
INSERT,1001232,-230.4,1/9/2019
INSERT,1001233,-2.59,1/9/2019
INSERT,1001234,-11.43,1/9/2019
INSERT,1001235,,
INSERT,1001236,,
X,1001237,,
X,1001238,,
